13.038405	12.041595	11.045361	10.049876	9.055385	8.062258	7.071068	6.082763	5.099020	4.123106	3.162278	2.236068	1.414214	1.000000	1.414214	2.236068	3.162278	4.123106	
13.000000	12.000000	11.000000	10.000000	9.000000	8.000000	7.000000	6.000000	5.000000	4.000000	3.000000	2.000000	1.000000	0.000000	1.000000	2.000000	3.000000	4.000000	
13.038405	12.041595	11.045361	10.049876	9.055385	8.062258	7.071068	6.082763	5.099020	4.123106	3.162278	2.236068	1.414214	1.000000	1.414214	2.236068	3.162278	4.123106	
13.152946	12.165525	11.180340	10.198039	9.219544	8.246211	7.280110	6.324555	5.385165	4.472136	3.605551	2.828427	2.236068	2.000000	2.236068	2.828427	3.605551	4.472136	
13.341664	12.369317	11.401754	10.440307	9.486833	8.544004	7.615773	6.708204	5.830952	5.000000	4.242641	3.605551	3.162278	3.000000	3.162278	3.605551	4.242641	5.000000	
13.601471	12.649111	11.704700	10.770330	9.848858	8.944272	8.062258	7.211103	6.403124	5.656854	5.000000	4.472136	4.123106	4.000000	4.123106	4.472136	5.000000	5.656854	
13.928388	13.000000	12.083046	11.180340	10.295630	9.433981	8.602325	7.810250	7.071068	6.403124	5.830952	5.385165	5.099020	5.000000	5.099020	5.385165	5.830952	6.403124	
14.317821	13.416408	12.529964	11.661904	10.816654	10.000000	9.219544	8.485281	7.810250	7.211103	6.708204	6.324555	6.082763	6.000000	6.082763	6.324555	6.708204	7.211103	
14.764823	13.892444	13.038405	12.206556	11.401754	10.630146	9.899495	9.219544	8.602325	8.062258	7.615773	7.280110	7.071068	7.000000	7.071068	7.280110	7.615773	8.062258	
15.264338	14.422205	13.601471	12.806248	12.041595	11.313708	10.630146	10.000000	9.433981	8.944272	8.544004	8.246211	8.062258	8.000000	8.062258	8.246211	8.544004	8.944272	
15.811388	15.000000	14.212670	13.453624	12.727922	12.041595	11.401754	10.816654	10.295630	9.848858	9.486833	9.219544	9.055385	9.000000	9.055385	9.219544	9.486833	9.848858	
16.401219	15.620499	14.866069	14.142136	13.453624	12.806248	12.206556	11.661904	11.180340	10.770330	10.440307	10.198039	10.049876	10.000000	10.049876	10.198039	10.440307	10.770330	
17.029386	16.278821	15.556349	14.866069	14.212670	13.601471	13.038405	12.529964	12.083046	11.704700	11.401754	11.180340	11.045361	11.000000	11.045361	11.180340	11.401754	11.704700	
17.691806	16.970563	16.278821	15.620499	15.000000	14.422205	13.892444	13.416408	13.000000	12.649111	12.369317	12.165525	12.041595	12.000000	12.041595	12.165525	12.369317	12.649111	
18.384776	17.691806	17.029386	16.401219	15.811388	15.264338	14.764823	14.317821	13.928388	13.601471	13.341664	13.152946	13.038405	13.000000	13.038405	13.152946	13.341664	13.601471	
19.104973	18.439089	17.804494	17.204651	16.643317	16.124515	15.652476	15.231546	14.866069	14.560220	14.317821	14.142136	14.035669	14.000000	14.035669	14.142136	14.317821	14.560220	
19.849433	19.209373	18.601075	18.027756	17.492856	17.000000	16.552945	16.155494	15.811388	15.524175	15.297059	15.132746	15.033296	15.000000	15.033296	15.132746	15.297059	15.524175	
20.615528	20.000000	19.416488	18.867962	18.357560	17.888544	17.464249	17.088007	16.763055	16.492423	16.278821	16.124515	16.031220	16.000000	16.031220	16.124515	16.278821	16.492423	
21.400935	20.808652	20.248457	19.723083	19.235384	18.788294	18.384776	18.027756	17.720045	17.464249	17.262677	17.117243	17.029386	17.000000	17.029386	17.117243	17.262677	17.464249	
22.203603	21.633308	21.095023	20.591260	20.124612	19.697716	19.313208	18.973666	18.681542	18.439089	18.248288	18.110770	18.027756	18.000000	18.027756	18.110770	18.248288	18.439089	
